blindmemory.p1.chip     :: BLIND MEMORY MAZE
minesweeper.p1.panel    :: Khác với mê cung thường: Số chỉ bom trong 8 ô lân cận (ngang, dọc VÀ chéo)!
minesweeper.p2.title    :: Đạp Bom Nổ & Vùng Số 0
minesweeper.p2.section  :: CHIẾN THUẬT DÒ ĐƯỜNG
minesweeper.p2.cta      :: TIẾP THEO: CÔNG CỤ DÒ BOM & CẮM CỜ (3/3) ›
minesweeper.p2.row1T    :: Hậu Quả Khi Đạp Trúng Bom:
minesweeper.p2.row1D    :: Ván đấu dừng ngay tức khắc. Bạn đứng tại ô nổ và có thể hồi sinh lùi lại 1 bước.
minesweeper.p2.row2T    :: Tận Dụng Triệt Để Các Ô Số 0:
minesweeper.p2.row2D    :: Nếu ô có số 0, toàn bộ 8 ô kề cạnh nó 100% không có bom — hãy đi qua vùng này!
minesweeper.p2.row3T    :: Kéo Nét Vẽ Chậm Rãi:
minesweeper.p2.row3D    :: Không vội vàng kéo lướt nhanh; chỉ vẽ vào các ô bạn đã chắc chắn an toàn.
minesweeper.p2.panel    :: ĐẠP PHẢI BOM
minesweeper.p2.panel    :: THUA NGAY TẠI CHỖ!
minesweeper.p2.panel    :: Nhân vật dừng ngay tại ô nổ
minesweeper.p2.panel    :: (Không văng về S như Dungeon)
minesweeper.p2.panel    :: VÙNG Ô SỐ 0
minesweeper.p2.panel    :: CẢ 8 Ô ĐỀU SẠCH BOM!
minesweeper.p2.panel    :: Tự tin bước qua bất kỳ ô nào
minesweeper.p2.panel    :: đang tiếp giáp với ô số 0
minesweeper.p2.panel    :: Hãy tìm các ô số 0 trước tiên — đó là chìa khóa mở toang lối đi an toàn!
minesweeper.p3.title    :: Công Cụ & HUD Đếm Bom
minesweeper.p3.cta      :: ĐÃ HIỂU • BẮT ĐẦU DÒ MÌN
minesweeper.p3.row1T    :: Cắm Cờ Trước Khi Vẽ Đường:
minesweeper.p3.row1D    :: Khi phát hiện ô chắc chắn có bom, hãy cắm cờ khóa ô lại ngay để tránh tay quẹt trúng.
minesweeper.p3.row2T    :: Kiểm Tra Tổng Số Bom Trên HUD:
minesweeper.p3.row2D    :: Đối chiếu số cờ đã cắm với số bom còn lại trên HUD để đảm bảo không bỏ sót quả nào.
minesweeper.p3.row3T    :: Hồi Sinh Rút Lại Bước Lỗi:
minesweeper.p3.row3D    :: Nếu lỡ đạp trúng bom, bạn có thể hồi sinh để quay lại ô ngay trước đó và thử hướng khác.
minesweeper.p3.panel    :: BOM CÒN LẠI TRÊN BÀN
minesweeper.p3.panel    :: 03
minesweeper.p3.panel    :: Đã phát hiện 2 quả • Còn 3 quả ẩn giấu
minesweeper.p3.panel    :: CẮM CỜ KHÓA Ô
minesweeper.p3.panel    :: Chống bấm nhầm
minesweeper.p3.panel    :: Dùng nút Ghi Nhớ để cắm cờ
minesweeper.p3.panel    :: vào ô bạn nghi là có bom.
minesweeper.p3.panel    :: Ô cắm cờ sẽ bị khóa an toàn!
minesweeper.p3.panel    :: HOÀN TÁC
minesweeper.p3.panel    :: Lùi 1 bước an toàn
minesweeper.p3.panel    :: Lỡ bước nhầm ô nguy hiểm?
minesweeper.p3.panel    :: Bấm Undo để lùi lại ngay lập tức
minesweeper.p3.panel    :: trước khi dẫn đến sai lầm.
minesweeper.p3.panel    :: Luôn để mắt tới thẻ HUD Bom để biết mình đã cô lập hết bom trên bàn chưa!
normal_maze.p1.chip     :: HƯỚNG DẪN CHƠI
normal_maze.p1.title    :: Cách Vượt Mê Cung
normal_maze.p1.section  :: QUY TẮC CẦN NHỚ
normal_maze.p1.cta      :: TIẾP THEO: MANH MỐI SỐ (2/3) ›
normal_maze.p1.tab1     :: BẮT ĐẦU & ĐÍCH
normal_maze.p1.tab2     :: MANH MỐI SỐ
normal_maze.p1.tab3     :: CÔNG CỤ
normal_maze.p1.row1T    :: Nối Cầu Thang Xuất Phát tới Hố Đích:
normal_maze.p1.row1D    :: Đặt ngón tay vào tâm ô Cầu Thang S, kéo liên tục qua các ô để vẽ đường.
normal_maze.p1.row2T    :: Cảnh giác Tường Vô Hình:
normal_maze.p1.row2D    :: Đâm phải tường ẩn giữa 2 ô sẽ bị Game Over ngay lập tức!
normal_maze.p1.row3T    :: Dựa vào manh mối các con số:
normal_maze.p1.row3D    :: Con số trên ô cho biết số cạnh xung quanh có tường (xem tiếp ở Trang 2).
normal_maze.p1.panel    :: XUẤT PHÁT
normal_maze.p1.panel    :: Cầu thang rọi sáng
normal_maze.p1.panel    :: HỐ ĐÍCH (F)
normal_maze.p1.panel    :: Thang xuống sâu
normal_maze.p1.panel    :: KÉO NỐI TÂM Ô
normal_maze.p1.panel    :: Bắt đầu từ Cầu Thang Trên Lầu Đi theo đường an toàn Xuống Hố Thang Đích
normal_maze.p2.title    :: Manh Mối Con Số
normal_maze.p2.section  :: QUY TẮC CON SỐ
normal_maze.p2.cta      :: TIẾP THEO: CÁC CÔNG CỤ HỖ TRỢ (3/3) ›
normal_maze.p2.row1T    :: Ý Nghĩa Con Số (0 đến 3):
normal_maze.p2.row1D    :: Con số thể hiện số cạnh trong bảng là tường vô hình của ô đó.
normal_maze.p2.row2T    :: Ưu Tiên Đi Qua Ô Số 0:
normal_maze.p2.row2D    :: Ô số 0 không có bất kỳ tường nào, là lối đi thông suốt an toàn nhất.
normal_maze.p2.row3T    :: Cẩn Thận Ô Số 2 & Số 3:
normal_maze.p2.row3D    :: Có nhiều tường bao quanh, cần so sánh với các ô bên cạnh để tránh đâm tường!
normal_maze.p2.panel    :: Ô SỐ 0 = AN TOÀN
normal_maze.p2.panel    :: KHÔNG CÓ TƯỜNG
normal_maze.p2.panel    :: Tự do đi qua theo mọi hướng
normal_maze.p2.panel    :: Ô SỐ 3 = 3 TƯỜNG
normal_maze.p2.panel    :: BỊ BỊT KÍN 3 MẶT
normal_maze.p2.panel    :: Chỉ có 1 cạnh duy nhất để thoát
normal_maze.p2.panel    :: Suy luận như Dò Mìn: Dùng con số để xác định khe nào có Tường Vô Hình
normal_maze.p3.title    :: Công Cụ Trợ Giúp
normal_maze.p3.cta      :: ĐÃ HIỂU • BẮT ĐẦU CHƠI
normal_maze.p3.row1T    :: Quan Sát & Đánh Dấu Tường Trước:
normal_maze.p3.row1D    :: Chưa vội vẽ đường ngay — hãy nối các Anchor để bịt các khe nguy hiểm trước.
normal_maze.p3.row2T    :: Vẽ Chậm Rãi & Chắc Chắn:
normal_maze.p3.row2D    :: Kéo nét mực từng ô một từ Cầu thang Start sang Finish theo lối đã mở.
normal_maze.p3.row3T    :: Đạt 3 Sao Mỗi Màn:
normal_maze.p3.row3D    :: Hoàn thành cả 3 Thử Thách trên bảng HUD để gom trọn vẹn 3 Sao mở Chương mới!
normal_maze.p3.panel    :: CÔNG CỤ: GHI NHỚ
normal_maze.p3.panel    :: Đánh dấu Tường Nghi Ngờ
normal_maze.p3.panel    :: Kéo giữa 2 dấu cộng (+) ở góc ô để tự dựng
normal_maze.p3.panel    :: tường cam nháp, giúp không bao giờ đâm nhầm!
normal_maze.p3.panel    :: Lùi lại 1 bước
normal_maze.p3.panel    :: Lỡ vẽ sai vào ngõ cụt? Bấm
normal_maze.p3.panel    :: Undo để rút lại nét vẽ an toàn.
normal_maze.p3.panel    :: GỢI Ý
normal_maze.p3.panel    :: Mở 1 bước an toàn
normal_maze.p3.panel    :: Gặp thế cờ quá khó? Soi sáng
normal_maze.p3.panel    :: ngay 1 đoạn đường đúng đắn.
normal_maze.p3.panel    :: Kết hợp linh hoạt Vẽ Đường + Ghi Nhớ Tường để phá đảo mọi câu đố!
sumpath.p1.chip     :: SUM PATH • TOÁN ĐỐ
sumpath.p1.title    :: Bài Toán Cộng Tổng Điểm
sumpath.p1.section  :: QUY TẮC CỘNG TỔNG CƠ BẢN
sumpath.p1.cta      :: TIẾP THEO: TOÁN TỬ & Ô 1 LẦN (2/3) ›
sumpath.p1.link     :: Bỏ qua hướng dẫn & Vào cộng điểm ngay
sumpath.p1.tab1     :: CỘNG TỔNG & MỤC TIÊU
sumpath.p1.tab2     :: TOÁN TỬ & Ô 1 LẦN
sumpath.p1.tab3     :: BÍ QUYẾT TÍNH & UNDO
sumpath.p1.row1T    :: Con Số Là Điểm Số Của Ô (1 đến 9):
sumpath.p1.row1D    :: Không có tường chắn, không có bom ẩn. Mỗi ô trên bàn cờ đóng vai trò là một điểm số.
sumpath.p1.row2T    :: Cộng Dồn Liên Tục Vào Tổng Điểm:
sumpath.p1.row2D    :: Mỗi khi nét vẽ kéo sang ô mới, điểm ô đó sẽ lập tức được cộng dồn vào thẻ Tổng Hiện Tại.
sumpath.p1.row3T    :: Chạm Đích Khớp Đúng Mục Tiêu:
sumpath.p1.row3D    :: Chỉ chiến thắng khi bạn chạm Hố Thang Đích F với Tổng Điểm thỏa mãn đúng phép tính yêu cầu.
sumpath.p1.panel    :: TỔNG HIỆN TẠI
sumpath.p1.panel    :: 18
sumpath.p1.panel    :: (qua 3 ô)
sumpath.p1.panel    :: =
sumpath.p1.panel    :: MỤC TIÊU PHẢI ĐẠT
sumpath.p1.panel    :: 50
sumpath.p1.panel    :: CẦN THÊM +32
sumpath.p1.panel    :: 8
sumpath.p1.panel    :: 6
sumpath.p1.panel    :: 9
sumpath.p1.panel    :: 7
sumpath.p1.panel    :: CỘNG DỒN ĐIỂM
sumpath.p1.panel    :: 4 + 6 + 8
sumpath.p1.panel    :: = 18 ĐIỂM
sumpath.p1.panel    :: Cộng mỗi bước đi!
sumpath.p1.panel    :: ĐI TỰ DO
sumpath.p1.panel    :: Vẽ hướng nào cũng
sumpath.p1.panel    :: không sợ đâm chết!
sumpath.p1.panel    :: Kéo qua ô nào, điểm ô đó cộng dồn vào Tổng. Đích đến yêu cầu bạn đạt chính xác = 50!
sumpath.p2.title    :: Toán Tử & Ô Điểm 1 Lần
sumpath.p2.section  :: QUY TẮC MỤC TIÊU & ĐIỂM Ô
sumpath.p2.cta      :: TIẾP THEO: CHIẾN THUẬT & UNDO (3/3) ›
sumpath.p2.row1T    :: Để Ý Ký Hiệu Toán Tử (=, <, >):
sumpath.p2.row1D    :: Với dấu =, tổng phải khớp tuyệt đối. Với dấu < hoặc >, chỉ cần tổng nằm trong khoảng hợp lệ.
sumpath.p2.row2T    :: Mỗi Ô Chỉ Tính Điểm Một Lần:
sumpath.p2.row2D    :: Bạn có thể vẽ đường giao cắt ô cũ để chuyển hướng, nhưng điểm ô đó sẽ không được cộng thêm.
sumpath.p2.row3T    :: Về Đích Sai Mục Tiêu = Thất Bại:
sumpath.p2.row3D    :: Dù bạn chạm được hố thang F nhưng tổng điểm không thỏa mãn phép tính thì màn chơi chưa kết thúc!
sumpath.p2.panel    :: 3 DẠNG TOÁN TỬ HUD
sumpath.p2.panel    :: BẰNG CHÍNH XÁC
sumpath.p2.panel    :: Ví dụ: Tổng = 50
sumpath.p2.panel    :: <
sumpath.p2.panel    :: NHỎ HƠN MỨC TRẦN
sumpath.p2.panel    :: Ví dụ: Tổng < 35
sumpath.p2.panel    :: >
sumpath.p2.panel    :: LỚN HƠN MỨC SÀN
sumpath.p2.panel    :: Ví dụ: Tổng > 40
sumpath.p2.panel    :: KIỂM TRA KỸ TOÁN TỬ
sumpath.p2.panel    :: trên bảng HUD trước khi vẽ!
sumpath.p2.panel    :: MỖI Ô CHỈ CỘNG 1 LẦN
sumpath.p2.panel    :: 5
sumpath.p2.panel    :: +0 ĐIỂM
sumpath.p2.panel    :: KHÔNG THỂ ĐI VÒNG CÀY ĐIỂM
sumpath.p2.panel    :: Quay lại ô cũ sẽ không cộng thêm.
sumpath.p2.panel    :: Điểm chỉ tính ở lần bước đầu tiên!
sumpath.p2.panel    :: Luôn nhìn toán tử trên HUD: Có màn yêu cầu = 50, nhưng có màn chỉ yêu cầu < 30!
sumpath.p3.title    :: Chiến Thuật & Undo Sửa Sai
sumpath.p3.section  :: BÍ QUYẾT TÍNH TOÁN
sumpath.p3.cta      :: ĐÃ HIỂU • BẮT ĐẦU CỘNG ĐIỂM
sumpath.p3.row1T    :: Bản Cờ Luôn Có Ít Nhất 1 Nghiệm Đúng:
sumpath.p3.row1D    :: Mỗi màn đều đảm bảo có ít nhất một đường đi hoàn hảo thỏa mãn đúng toán tử mục tiêu.
sumpath.p3.row2T    :: Dùng Undo Để Thu Hồi Điểm Lố:
sumpath.p3.row2D    :: Nếu lỡ bước vào ô số to khiến tổng vượt quá mục tiêu, chỉ cần Undo lùi lại để trừ điểm ra.
sumpath.p3.row3T    :: Đua Tốc Độ Phá Giải:
sumpath.p3.row3D    :: Game không giới hạn số bước — người nhẩm tính nhanh và về đích sớm nhất sẽ đạt hạng cao!
sumpath.p3.panel    :: CHIẾN THUẬT: SỐ LỚN & SỐ NHỎ
sumpath.p3.panel    :: Ô 7, 8, 9
sumpath.p3.panel    :: Dồn điểm cực nhanh
sumpath.p3.panel    :: Ô 1, 2, 3
sumpath.p3.panel    :: Tinh chỉnh vừa khít
sumpath.p3.panel    :: 50 ĐIỂM
sumpath.p3.panel    :: HOÀN HẢO
sumpath.p3.panel    :: • Khi mục tiêu còn xa: Ưu tiên gom các ô số to. Khi gần chạm mốc: Rẽ qua ô số nhỏ để chốt hạ!
sumpath.p3.panel    :: TRỪ NGƯỢC ĐIỂM SỐ
sumpath.p3.panel    :: LỠ CỘNG LỐ ĐIỂM? SỬA NGAY!
sumpath.p3.panel    :: Bấm Undo lùi lại 1 bước, điểm số của ô đó
sumpath.p3.panel    :: sẽ được trừ ngược ra khỏi Tổng Hiện Tại để bạn chọn nhánh khác.
sumpath.p3.panel    :: Luôn có ít nhất 1 nghiệm đúng! Hãy tận dụng Undo để thử nghiệm các hướng tính toán.
time_attack.p1.chip     :: TIME ATTACK MAZE
time_attack.p1.title    :: Đồng Hồ Đếm Ngược
time_attack.p1.section  :: QUY TẮC ĐUA THỜI GIAN
time_attack.p1.cta      :: TIẾP THEO: ĐÂM TƯỜNG MẤT GIỜ (2/3) ›
time_attack.p1.link     :: Bỏ qua hướng dẫn & Vào đua giờ ngay
time_attack.p1.tab1     :: ĐỒNG HỒ ĐẾM NGƯỢC
time_attack.p1.tab2     :: ĐÂM TƯỜNG MẤT GIỜ
time_attack.p1.tab3     :: TỐC ĐỘ & GỢI Ý
time_attack.p1.row1T    :: Thời Gian Tổng Đếm Ngược:
time_attack.p1.row1D    :: Màn chơi cấp một quỹ thời gian cố định (60s - 120s). Bạn phải chạm hố thang F trước khi hết giờ.
time_attack.p1.row2T    :: Không Giới Hạn Số Bước Chân:
time_attack.p1.row2D    :: Bạn có thể đi vòng, thử nhiều ngã rẽ mà không sợ hết bước — kẻ thù duy nhất là thời gian trôi.
time_attack.p1.row3T    :: Quy Luật Tường Vô Hình Như Thường:
time_attack.p1.row3D    :: Con số trên ô vẫn là số tường (0 - 4). Vừa đi nhanh vừa phải suy luận né tường chính xác.
time_attack.p1.panel    :: THỜI GIAN CÒN LẠI
time_attack.p1.panel    :: 00:45
time_attack.p1.panel    :: ĐANG GIẢM
time_attack.p1.panel    :: ÁP LỰC THỜI GIAN
time_attack.p1.panel    :: ĐẾM NGƯỢC
time_attack.p1.panel    :: VỀ 00:00
time_attack.p1.panel    :: Hết giờ = THUA!
time_attack.p1.panel    :: SỐ BƯỚC CHÂN
time_attack.p1.panel    :: KHÔNG GIỚI HẠN
time_attack.p1.panel    :: Đi bao nhiêu ô tùy ý
time_attack.p1.panel    :: chỉ cần về đích kịp!
time_attack.p1.panel    :: Bạn chỉ có 60s đến 120s: Hãy vẽ thật dứt khoát trước khi đồng hồ điểm 00:00!
time_attack.p2.title    :: Đâm Tường & Mất Giờ
time_attack.p2.section  :: HẬU QUẢ VA CHẠM TƯỜNG
time_attack.p2.cta      :: TIẾP THEO: TỐC ĐỘ & GỢI Ý (3/3) ›
time_attack.p2.row1T    :: Văng Ngược Về Cầu Thang Start (S):
time_attack.p2.row1D    :: Đâm phải tường vô hình, nhân vật lập tức bị đẩy lùi về điểm S để bắt đầu đường vẽ mới.
time_attack.p2.row2T    :: Đồng Hồ Vẫn Tiếp Tục Đếm Ngược:
time_attack.p2.row2D    :: Thời gian không dừng lại. Việc vẽ lại từ đầu khiến bạn mất đứt nhiều giây sinh tử!
time_attack.p2.row3T    :: Rút Kinh Nghiệm Từ Đoạn Tường Vừa Lộ:
time_attack.p2.row3D    :: Bức tường bị đâm sẽ lộ ra vĩnh viễn. Hãy nhìn thật nhanh và vẽ đường né tránh dứt khoát.
time_attack.p2.panel    :: BỊ ĐẨY VỀ XUẤT PHÁT
time_attack.p2.panel    :: VẼ LẠI TỪ S!
time_attack.p2.panel    :: Tường lộ diện nhưng
time_attack.p2.panel    :: phải đi lại từ đầu.
time_attack.p2.panel    :: THỜI GIAN VẪN TRÔI
time_attack.p2.panel    :: MẤT 5 - 10 GIÂY!
time_attack.p2.panel    :: Đồng hồ vẫn đếm lùi,
time_attack.p2.panel    :: quỹ giờ cạn rất nhanh!
time_attack.p2.panel    :: Đâm tường ở Time Attack không chết ngay, nhưng sẽ cướp đi thời gian quý báu của bạn!
time_attack.p3.title    :: Tốc Độ & Gợi Ý Cứu Nguy
time_attack.p3.section  :: BÍ QUYẾT BỨT TỐC
time_attack.p3.cta      :: ĐÃ HIỂU • ĐUA THỜI GIAN
time_attack.p3.row1T    :: Tìm Ô Số 0 Để Phóng Nhanh:
time_attack.p3.row1D    :: Quét mắt tìm các ô số 0 trước tiên để vạch nhanh tuyến đường an toàn mà không tốn công nhẩm tính.
time_attack.p3.row2T    :: Bấm Gợi Ý Khi Bị Bí Quá 3 Giây:
time_attack.p3.row2D    :: Trong Time Attack, do dự là thất bại. Hãy bấm Gợi Ý để mở khóa nút thắt thay vì để đồng hồ cạn kiệt.
time_attack.p3.row3T    :: Dùng Undo Kịp Thời Để Tránh Về S:
time_attack.p3.row3D    :: Nếu cảm giác vừa rẽ nhầm nhánh bế tắc, bấm Undo lùi lại 1 ô sẽ nhanh hơn rất nhiều so với bị phạt về S!
time_attack.p3.panel    :: CHIẾN THUẬT: PHÓNG QUA Ô 0
time_attack.p3.panel    :: LƯỚT QUA • SIÊU TỐC
time_attack.p3.panel    :: Ưu Tiên Ô Số 0 Để Tăng Tốc
time_attack.p3.panel    :: Ô số 0 hoàn toàn không có tường bao.
time_attack.p3.panel    :: Hãy phóng thẳng bút qua ô này mà không
time_attack.p3.panel    :: cần dừng lại suy nghĩ, tiết kiệm tối đa giây!
time_attack.p3.panel    :: Mở lối khi bí
time_attack.p3.panel    :: Bí quá 3 giây? Đừng chôn chân!
time_attack.p3.panel    :: Bấm ngay Gợi Ý để soi đường
time_attack.p3.panel    :: thay vì đứng nhìn đồng hồ cạn!
time_attack.p3.panel    :: Rút bước kịp thời
time_attack.p3.panel    :: Lỡ tay quẹt nhầm hướng?
time_attack.p3.panel    :: Bấm Undo lùi lại ngay
time_attack.p3.panel    :: để không bị đâm tường văng về S!
time_attack.p3.panel    :: Đứng yên là tự sát! Khi phân vân, bấm ngay Gợi Ý để cứu lấy thời gian sống còn.
